Column1,Column2,Column3
3598,5536,6508
3581,5784,6907
3869,6046,6908
4075,6272,6965
4184,6661,7310
4143,6665,7430
4194,6938,7428
4217,7036,7548
4287,7050,7548
4402,7091,7709
4538,7144,7699
4528,7208,7684
4689,7209,7530
4868,7256,7438
5041,7246,7339
5210,7244,7227
5411,7259,7103
5579,7176,6739
6011,6999,6396
6107,6925,6105
6153,6826,5927
6168,6547,5659
6181,6384,5507
6190,5989,5399
6157,5681,5086
6001,5588,5069
5951,5578,5019
5550,5539,4998
5406,5474,4987
5356,5451,4953
5223,5411,4947
5128,5385,4947
4900,5330,4947
4455,5178,4947
4063,4660,4760
3864,4587,4581
3470,4258,4343
3427,4144,4121
2758,3844,4056
2723,3811,3814
2515,3748,3684
2172,3741,3663
2131,3734,3672
1938,3728,3649
1929,3708,3549
1715,3570,3405
1674,3542,3366
1455,3504,3365
1428,3454,3225
1250,3471,3216
1199,3218,3035
1207,3188,2839
969,2718,2270
915,2536,2055
964,2021,1494
999,1985,1458
1033,1995,1333
1067,1930,1255
1101,1939,1178
1161,1944,1136
1376,1941,1023
1523,1938,869
1759,1995,720
2180,2010,471
2427,2017,407
2591,2036,331
3294,2314,77
3463,2350,38
4148,2605,-266
4812,2879,-471
5390,2983,-670
6058,3108,-974
6479,3229,-1006
6591,3365,-956
6677,3527,-1048
6729,3809,-962
6796,3861,-1349
7100,3753,-1429
7192,3511,-1750
7366,3625,-1734
7366,3241,-1745
7160,3387,-1673
6742,2815,-1457
